Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;Ligne_5;coordonnees_gps
02540;NESLES LA MONTAGNE;02400;NESLES LA MONTAGNE;;49.0643447361, 3.3912505936
01036;BELMONT LUTHEZIEU;01260;BELMONT LUTHEZIEU;LUTHEZIEU;45.9506630232, 5.68746147482
01037;BENONCES;01470;BENONCES;;45.805864462, 5.47727707691
01050;BOISSEY;01380;BOISSEY;;46.3161847468, 4.97400450524
01063;BRION;01460;BRION;;46.1732029522, 5.56455683284
01076;CHALEY;01230;CHALEY;;45.9329292993, 5.4692328328
01084;CHANOZ CHATENAY;01400;CHANOZ CHATENAY;;46.1331001556, 4.99858455549
01093;CHATILLON SUR CHALARONNE;01400;CHATILLON SUR CHALARONNE;;46.1331001556, 4.99858455549
01095;CHAVANNES SUR SURAN;01250;CHAVANNES SUR SURAN;;46.2066710432, 5.38605889851
01100;CHEIGNIEU LA BALME;01510;CHEIGNIEU LA BALME;;45.8480243468, 5.61949053703
01104;CHEZERY FORENS;01200;CHEZERY FORENS;;46.1338706653, 5.81259483702
01106;CIZE;01250;CIZE;;46.2066710432, 5.38605889851
01107;CLEYZIEU;01230;CLEYZIEU;;45.9329292993, 5.4692328328
01125;CORVEISSIAT;01250;CORVEISSIAT;;46.2066710432, 5.38605889851
01140;CURTAFOND;01310;CURTAFOND;;46.2412963633, 5.11553315012
01155;EVOSGES;01230;EVOSGES;;45.9329292993, 5.4692328328
01181;GROISSIAT;01100;GROISSIAT;;46.2468792013, 5.65226081977
01184;HAUTECOURT ROMANECHE;01250;HAUTECOURT ROMANECHE;ROMANECHE;46.2066710432, 5.38605889851
01188;ILLIAT;01140;ILLIAT;;46.1670266686, 4.8459954399
01189;INJOUX GENISSIAT;01200;INJOUX GENISSIAT;CRAZ;46.1338706653, 5.81259483702
01190;INNIMOND;01680;INNIMOND;;45.752622921, 5.55446422211
01191;IZENAVE;01430;IZENAVE;;46.1000038391, 5.54230808548
01193;IZIEU;01300;IZIEU;;45.7328309975, 5.65715901636
01194;JASSANS RIOTTIER;01480;JASSANS RIOTTIER;;46.0178170669, 4.81482624573
